SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	PARTNER RACE	RESPONSE	RT	START TIME
032	2	2	05	74	white_mw073.bmp	0	7	2.522827	6662.016821
032	2	2	06	75	other_00668_941121_fa_edt.bmp	2	7	2.754403	6664.649253
032	2	2	07	76	black_mb054.bmp	1	5	2.448553	6667.514949
032	2	2	08	77	other_00810_941205_fb_edt_rot.bmp	2	4	2.218776	6670.080717
032	2	2	09	78	other_00793_941205_fb_edt.bmp	2	6	2.798217	6672.413237
032	2	2	10	79	black_mb097.bmp	1	3	4.362489	6675.328893
032	2	2	11	80	black_mb092.bmp	1	8	2.240657	6679.810689
032	2	2	12	81	white_mw092.bmp	0	6	5.595397	6682.159878
032	2	2	13	82	other_00622_940928_fb_edt.bmp	2	7	3.248582	6687.874569
032	2	2	14	83	white_mw099.bmp	0	5	2.483011	6691.240123
032	2	2	15	84	white_mw068.bmp	0	6	4.203852	6693.839185
032	2	2	16	85	other_00828_940307_fa_edt.bmp	2	4	3.440668	6698.154384
032	2	2	17	86	white_mw057.bmp	0	4	7.387698	6701.703128
032	2	2	18	87	black_mb071.bmp	1	4	1.562316	6709.200579
032	2	2	19	88	black_mb045.bmp	1	5	3.151405	6710.883395
032	2	2	20	89	white_mw033.bmp	0	6	3.411221	6714.215500
032	2	2	21	90	white_mw040.bmp	0	6	3.415172	6717.747625
032	2	2	22	91	white_mw047.bmp	0	5	2.251029	6721.279732
032	2	2	23	92	black_mb058.bmp	1	4	1.477057	6723.645597
032	2	2	24	93	black_mb077.bmp	1	8	1.445487	6725.245031
032	2	2	25	94	white_mw082.bmp	0	7	2.479431	6726.811159
032	2	2	26	95	white_mw097.bmp	0	5	4.728249	6729.410242
032	2	2	27	96	black_mb083.bmp	1	4	2.143872	6734.258587
032	2	2	28	97	other_00698_941121_fb_edt.bmp	2	7	2.550037	6736.524454
032	2	2	29	98	white_mw042.bmp	0	1	6.708092	6739.190236
032	2	2	30	99	white_mw029.bmp	0	4	3.468964	6746.021194
032	2	2	31	100	white_mw051.bmp	0	3	3.782929	6749.603312
032	2	2	32	101	white_mw085.bmp	0	7	2.572195	6753.501973
032	2	2	33	102	other_00795_941205_fb_edt.bmp	2	8	2.561768	6756.184342
032	2	2	34	103	other_00809_941205_fa_edt.bmp	2	4	2.431282	6758.866776
032	2	2	35	104	black_mb096.bmp	1	3	3.082179	6761.415888
032	2	2	36	105	other_00740_941205_fa_edt.bmp	2	6	5.083184	6764.614788
032	2	2	37	106	other_00733_941201_fa_edt.bmp	2	4	4.532911	6769.812998
032	2	2	38	107	other_00712_941205_fa_edt.bmp	2	5	3.788320	6774.461389
032	2	2	39	108	white_mw060.bmp	0	4	5.849687	6778.360066
032	2	2	40	109	black_mb049.bmp	1	6	2.485008	6784.324686
032	2	2	41	110	other_00763_941201_fb_edt.bmp	2	5	5.973829	6786.923760
032	2	2	42	111	black_mb046.bmp	1	4	2.460450	6793.004996
032	2	2	43	112	white_mw038.bmp	0	5	5.494006	6795.587440
032	2	2	44	113	other_00880_960530_fa_edt.bmp	2	4	1.679321	6801.202157
032	2	2	45	114	white_mw052.bmp	0	6	1.423869	6803.001550
032	2	2	46	115	white_mw096.bmp	0	7	1.099022	6804.534345
032	2	2	47	116	other_00911_960530_fa_edt.bmp	2	4	2.314678	6805.750603
032	2	2	48	117	black_mb089.bmp	1	6	3.922251	6808.183097
032	2	2	49	118	black_mb061.bmp	1	4	2.578123	6812.215040
032	2	2	50	119	other_00640_941031_fa_edt_rot.bmp	2	5	2.407852	6814.914110
032	2	2	51	120	other_00926_960627_fa_edt.bmp	2	6	1.499266	6817.429896
