SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	INK	MASK	STIM RACE	RESPONSE	RT	START TIME
034	1	80	01	01	black_00531_940519_fa_edt.bmp	pd_sm_inkblot_170816_1750_063.png	pdPR_noiseMask_170814_1952_090.png	1	1	1.582917	6689.095297
034	1	80	02	02	white_mw013.bmp	pd_sm_inkblot_170816_1750_014.png	pdPR_noiseMask_170814_1952_099.png	0	0	0.852661	6690.978070
034	1	80	03	03	other_00193_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_053.png	pdPR_noiseMask_170814_1952_010.png	2	0	0.894729	6692.127559
034	1	1	01	01	white_mw009.bmp	pd_sm_inkblot_170816_1750_035.png	pdPR_noiseMask_170814_1952_013.png	0	1	1.533060	6701.041191
034	1	1	02	02	black_mb035.bmp	pd_sm_inkblot_170816_1750_061.png	pdPR_noiseMask_170814_1952_087.png	1	0	0.782992	6702.807219
034	1	1	03	03	black_mb009.bmp	pd_sm_inkblot_170816_1750_023.png	pdPR_noiseMask_170814_1952_007.png	1	0	0.662582	6703.823536
034	1	1	04	04	black_mb005.bmp	pd_sm_inkblot_170816_1750_035.png	pdPR_noiseMask_170814_1952_088.png	1	0	0.962525	6704.723225
034	1	1	05	05	other_00097_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_052.png	pdPR_noiseMask_170814_1952_031.png	2	1	0.787088	6705.922797
034	1	1	06	06	black_00467_940519_fb_edt.bmp	pd_sm_inkblot_170816_1750_004.png	pdPR_noiseMask_170814_1952_094.png	1	1	0.642762	6706.939128
034	1	1	07	07	white_00658_941121_fb_edt.bmp	pd_sm_inkblot_170816_1750_005.png	pdPR_noiseMask_170814_1952_034.png	0	0	0.736329	6707.805496
034	1	1	08	08	black_00716_941201_fa_edt_rot.bmp	pd_sm_inkblot_170816_1750_058.png	pdPR_noiseMask_170814_1952_080.png	1	0	0.594008	6708.771826
034	1	1	09	09	black_00929_960627_fa_edt.bmp	pd_sm_inkblot_170816_1750_075.png	pdPR_noiseMask_170814_1952_012.png	1	0	0.953584	6709.588214
034	1	1	10	10	white_00960_960627_fb_edt.bmp	pd_sm_inkblot_170816_1750_075.png	pdPR_noiseMask_170814_1952_031.png	0	0	0.634887	6710.771125
034	1	1	11	11	white_00248_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_028.png	pdPR_noiseMask_170814_1952_070.png	0	0	0.720310	6711.637507
