40, 2, 2, blackwhite, Black, White, W6jpg.jpg, 7.487954e+04, 7.492697e+04, 7.492722e+04, i, 2.783785e-01, 1, 2.783785e-01
41, 1, 3, blackgood, Black, White, B2jpg.jpg, 7.487954e+04, 7.493160e+04, 7.493185e+04, e, 9.935658e-01, 1, 9.935658e-01
42, 4, 3, blackgood, Black, White, Terrible, 7.487954e+04, 7.493285e+04, 7.493310e+04, i, 5.852836e-01, 0, 1.379998e+00
43, 2, 3, blackgood, Black, White, W0jpg.jpg, 7.487954e+04, 7.493449e+04, 7.493474e+04, i, 8.078081e-01, 1, 8.078081e-01
44, 3, 3, blackgood, Black, White, Wonderful, 7.487954e+04, 7.493556e+04, 7.493581e+04, e, 5.553068e-01, 1, 5.553068e-01
45, 1, 3, blackgood, Black, White, B5jpg.jpg, 7.487954e+04, 7.493637e+04, 7.493663e+04, e, 8.069998e-01, 1, 8.069998e-01
46, 3, 3, blackgood, Black, White, Fabulous, 7.487954e+04, 7.493744e+04, 7.493770e+04, e, 4.894449e-01, 1, 4.894449e-01
47, 2, 3, blackgood, Black, White, W6jpg.jpg, 7.487954e+04, 7.493820e+04, 7.493845e+04, i, 5.672670e-01, 1, 5.672670e-01
48, 4, 3, blackgood, Black, White, Nasty, 7.487954e+04, 7.493903e+04, 7.493928e+04, i, 5.553286e-01, 1, 5.553286e-01
49, 2, 3, blackgood, Black, White, W5jpg.jpg, 7.487954e+04, 7.493985e+04, 7.494010e+04, i, 5.607457e-01, 0, 1.001075e+00
50, 3, 3, blackgood, Black, White, Great, 7.487954e+04, 7.494112e+04, 7.494137e+04, e, 5.909943e-01, 0, 1.115211e+00
51, 1, 3, blackgood, Black, White, B1jpg.jpg, 7.487954e+04, 7.494250e+04, 7.494276e+04, e, 4.708783e-01, 1, 4.708783e-01
52, 3, 3, blackgood, Black, White, Superb, 7.487954e+04, 7.494324e+04, 7.494349e+04, e, 6.753195e-01, 1, 6.753195e-01
53, 2, 3, blackgood, Black, White, W0jpg.jpg, 7.487954e+04, 7.494418e+04, 7.494443e+04, i, 8.918601e-01, 1, 8.918601e-01
54, 4, 3, blackgood, Black, White, Foul, 7.487954e+04, 7.494533e+04, 7.494558e+04, i, 6.392419e-01, 1, 6.392419e-01
55, 1, 3, blackgood, Black, White, B3jpg.jpg, 7.487954e+04, 7.494623e+04, 7.494649e+04, e, 5.971831e-01, 1, 5.971831e-01
56, 4, 3, blackgood, Black, White, Disgusting, 7.487954e+04, 7.494709e+04, 7.494734e+04, i, 1.716629e+00, 1, 1.716629e+00
57, 2, 3, blackgood, Black, White, W0jpg.jpg, 7.487954e+04, 7.494907e+04, 7.494933e+04, i, 6.748868e-01, 1, 6.748868e-01
58, 3, 3, blackgood, Black, White, Nice, 7.487954e+04, 7.495001e+04, 7.495026e+04, e, 7.651281e-01, 1, 7.651281e-01
59, 1, 3, blackgood, Black, White, B7jpg.jpg, 7.487954e+04, 7.495103e+04, 7.495128e+04, e, 4.352824e-01, 1, 4.352824e-01
60, 4, 3, blackgood, Black, White, Awful, 7.487954e+04, 7.495173e+04, 7.495198e+04, i, 1.000310e+00, 1, 1.000310e+00
61, 3, 3, blackgood, Black, White, Wonderful, 7.487954e+04, 7.495919e+04, 7.495944e+04, e, 1.275341e+00, 1, 1.275341e+00
62, 2, 3, blackgood, Black, White, W2jpg.jpg, 7.487954e+04, 7.496072e+04, 7.496098e+04, i, 6.811694e-01, 1, 6.811694e-01
63, 4, 3, blackgood, Black, White, Nasty, 7.487954e+04, 7.496167e+04, 7.496193e+04, i, 8.557980e-01, 1, 8.557980e-01
64, 2, 3, blackgood, Black, White, W5jpg.jpg, 7.487954e+04, 7.496280e+04, 7.496305e+04, i, 4.472491e-01, 1, 4.472491e-01
65, 3, 3, blackgood, Black, White, Terrific, 7.487954e+04, 7.496351e+04, 7.496377e+04, e, 5.608925e-01, 1, 5.608925e-01
66, 2, 3, blackgood, Black, White, W4jpg.jpg, 7.487954e+04, 7.496434e+04, 7.496460e+04, i, 5.854104e-01, 1, 5.854104e-01
67, 3, 3, blackgood, Black, White, Nice, 7.487954e+04, 7.496520e+04, 7.496546e+04, e, 7.473149e-01, 0, 1.247302e+00
68, 1, 3, blackgood, Black, White, B9jpg.jpg, 7.487954e+04, 7.496672e+04, 7.496698e+04, e, 4.348186e-01, 1, 4.348186e-01
69, 4, 3, blackgood, Black, White, Revolting, 7.487954e+04, 7.496743e+04, 7.496768e+04, i, 6.208002e-01, 1, 6.208002e-01
70, 1, 3, blackgood, Black, White, B2jpg.jpg, 7.487954e+04, 7.496831e+04, 7.496856e+04, e, 5.428993e-01, 1, 5.428993e-01
71, 4, 3, blackgood, Black, White, Terrible, 7.487954e+04, 7.496912e+04, 7.496937e+04, i, 1.041597e+00, 1, 1.041597e+00
72, 1, 3, blackgood, Black, White, B4jpg.jpg, 7.487954e+04, 7.497042e+04, 7.497067e+04, e, 7.176231e-01, 1, 7.176231e-01
73, 4, 3, blackgood, Black, White, Nasty, 7.487954e+04, 7.497140e+04, 7.497166e+04, i, 1.204240e+00, 1, 1.204240e+00
74, 1, 3, blackgood, Black, White, B2jpg.jpg, 7.487954e+04, 7.497288e+04, 7.497313e+04, e, 7.710140e-01, 1, 7.710140e-01
75, 3, 3, blackgood, Black, White, Great, 7.487954e+04, 7.497391e+04, 7.497416e+04, e, 6.934049e-01, 1, 6.934049e-01
76, 2, 3, blackgood, Black, White, W2jpg.jpg, 7.487954e+04, 7.497487e+04, 7.497513e+04, i, 6.091258e-01, 1, 6.091258e-01
