SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	INK	MASK	STIM RACE	RESPONSE	RT	START TIME
056	0	1	30	30	black_00586_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_075.png	pdPL_noiseMask_170814_1952_032.png	1	0	0.729998	12740.439761
056	0	2	01	31	other_00616_940928_fa_edt_rot.bmp	pd_sm_inkblot_170816_1750_056.png	pdPL_noiseMask_170814_1952_062.png	2	0	1.084446	12747.437371
056	0	2	02	32	other_00490_940519_fb_edt.bmp	pd_sm_inkblot_170816_1750_019.png	pdPL_noiseMask_170814_1952_071.png	2	1	0.936035	12748.753587
056	0	2	03	33	other_00588_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_033.png	pdPL_noiseMask_170814_1952_018.png	2	1	1.737755	12749.919846
056	0	2	04	34	white_mw013.bmp	pd_sm_inkblot_170816_1750_036.png	pdPL_noiseMask_170814_1952_036.png	0	0	0.683730	12751.885851
056	0	2	05	35	white_mw003.bmp	pd_sm_inkblot_170816_1750_081.png	pdPL_noiseMask_170814_1952_039.png	0	0	0.695462	12752.802193
056	0	2	06	36	other_00383_941031_fa_edt_rot.bmp	pd_sm_inkblot_170816_1750_015.png	pdPL_noiseMask_170814_1952_049.png	2	0	0.699018	12753.718557
056	0	2	07	37	white_00341_940422_fa_edt.bmp	pd_sm_inkblot_170816_1750_070.png	pdPL_noiseMask_170814_1952_057.png	0	0	0.821877	12754.651580
056	0	2	08	38	white_00050_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_023.png	pdPL_noiseMask_170814_1952_081.png	0	0	0.788344	12755.701206
056	0	2	09	39	other_00512_940519_fa_edt.bmp	pd_sm_inkblot_170816_1750_071.png	pdPL_noiseMask_170814_1952_007.png	2	1	0.947993	12756.717540
056	0	2	10	40	black_mb033.bmp	pd_sm_inkblot_170816_1750_000.png	pdPL_noiseMask_170814_1952_072.png	1	0	0.661090	12757.900473
056	0	2	11	41	other_00604_940928_fb_edt.bmp	pd_sm_inkblot_170816_1750_047.png	pdPL_noiseMask_170814_1952_066.png	2	0	0.666077	12758.783499
056	0	2	12	42	black_mb032.bmp	pd_sm_inkblot_170816_1750_085.png	pdPL_noiseMask_170814_1952_028.png	1	1	0.902216	12759.683194
056	0	2	13	43	black_mb026.bmp	pd_sm_inkblot_170816_1750_083.png	pdPL_noiseMask_170814_1952_038.png	1	0	1.554016	12760.816139
056	0	2	14	44	black_mb005.bmp	pd_sm_inkblot_170816_1750_079.png	pdPL_noiseMask_170814_1952_019.png	1	0	1.514810	12762.598856
056	0	2	15	45	black_00677_941121_fa_edt.bmp	pd_sm_inkblot_170816_1750_022.png	pdPL_noiseMask_170814_1952_010.png	1	0	0.629703	12764.348260
056	0	2	16	46	black_00857_940307_fa_edt.bmp	pd_sm_inkblot_170816_1750_006.png	pdPL_noiseMask_170814_1952_015.png	1	0	0.483040	12765.214620
056	0	2	17	47	other_00234_940128_fb_edt.bmp	pd_sm_inkblot_170816_1750_084.png	pdPL_noiseMask_170814_1952_010.png	2	1	0.710286	12765.931053
056	0	2	18	48	white_00939_960627_fa_edt.bmp	pd_sm_inkblot_170816_1750_044.png	pdPL_noiseMask_170814_1952_019.png	0	1	0.809335	12766.864068
056	0	2	19	49	other_00119_931230_fb_edt.bmp	pd_sm_inkblot_170816_1750_031.png	pdPL_noiseMask_170814_1952_015.png	2	0	0.640404	12767.897048
056	0	2	20	50	white_mw016.bmp	pd_sm_inkblot_170816_1750_015.png	pdPL_noiseMask_170814_1952_071.png	0	1	0.934358	12768.763419
056	0	2	21	51	black_mb011.bmp	pd_sm_inkblot_170816_1750_005.png	pdPL_noiseMask_170814_1952_051.png	1	0	0.807783	12769.929689
056	0	2	22	52	white_00766_941201_fb_edt.bmp	pd_sm_inkblot_170816_1750_033.png	pdPL_noiseMask_170814_1952_032.png	0	1	0.743217	12770.962668
056	0	2	23	53	black_mb027.bmp	pd_sm_inkblot_170816_1750_002.png	pdPL_noiseMask_170814_1952_052.png	1	1	0.632407	12771.928990
056	0	2	24	54	black_mb010.bmp	pd_sm_inkblot_170816_1750_007.png	pdPL_noiseMask_170814_1952_049.png	1	0	0.692541	12772.796690
056	0	2	25	55	white_00299_940422_fa_edt.bmp	pd_sm_inkblot_170816_1750_019.png	pdPL_noiseMask_170814_1952_055.png	0	1	0.777526	12773.711730
056	0	2	26	56	black_mb017.bmp	pd_sm_inkblot_170816_1750_091.png	pdPL_noiseMask_170814_1952_043.png	1	0	0.802033	12774.711388
056	0	2	27	57	other_00132_931230_fb_edt.bmp	pd_sm_inkblot_170816_1750_069.png	pdPL_noiseMask_170814_1952_059.png	2	0	0.673438	12775.744353
056	0	2	28	58	white_00223_940128_fb_edt.bmp	pd_sm_inkblot_170816_1750_020.png	pdPL_noiseMask_170814_1952_033.png	0	0	0.541269	12776.644045
056	0	2	29	59	white_00764_941201_fa_edt.bmp	pd_sm_inkblot_170816_1750_046.png	pdPL_noiseMask_170814_1952_063.png	0	0	0.622813	12777.410468
056	0	2	30	60	other_00611_940928_fa_edt_rot.bmp	pd_sm_inkblot_170816_1750_022.png	pdPL_noiseMask_170814_1952_046.png	2	1	0.829101	12778.260164
056	0	3	01	61	black_mb013.bmp	pd_sm_inkblot_170816_1750_089.png	pdPL_noiseMask_170814_1952_061.png	1	0	0.803450	12785.357751
056	0	3	02	62	white_00283_940422_fa_edt.bmp	pd_sm_inkblot_170816_1750_079.png	pdPL_noiseMask_170814_1952_089.png	0	0	0.570644	12786.390739
056	0	3	03	63	other_00584_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_036.png	pdPL_noiseMask_170814_1952_009.png	2	0	0.570595	12787.190462
056	0	3	04	64	white_00129_931230_fb_edt.bmp	pd_sm_inkblot_170816_1750_049.png	pdPL_noiseMask_170814_1952_008.png	0	0	0.602858	12787.990185
056	0	3	05	65	other_00122_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_097.png	pdPL_noiseMask_170814_1952_072.png	2	1	0.537797	12788.823234
056	0	3	06	66	white_00807_941205_fb_edt.bmp	pd_sm_inkblot_170816_1750_025.png	pdPL_noiseMask_170814_1952_007.png	0	1	0.667512	12789.589624
056	0	3	07	67	white_00120_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_051.png	pdPL_noiseMask_170814_1952_076.png	0	1	0.528329	12790.489339
056	0	3	08	68	other_00114_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_073.png	pdPL_noiseMask_170814_1952_068.png	2	0	0.562094	12791.239077
056	0	3	09	69	other_00415_940422_fb_edt_rot.bmp	pd_sm_inkblot_170816_1750_006.png	pdPL_noiseMask_170814_1952_039.png	2	0	0.667150	12792.022142
056	0	3	10	70	white_00591_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_087.png	pdPL_noiseMask_170814_1952_037.png	0	0	0.567161	12792.921823
056	0	3	11	71	other_00029_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_055.png	pdPL_noiseMask_170814_1952_044.png	2	0	0.551937	12793.721564
056	0	3	12	72	white_00253_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_007.png	pdPL_noiseMask_170814_1952_038.png	0	0	0.640978	12794.504629
056	0	3	13	73	other_00580_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_037.png	pdPL_noiseMask_170814_1952_040.png	2	0	0.750102	12795.370999
056	0	3	14	74	white_mw006.bmp	pd_sm_inkblot_170816_1750_096.png	pdPL_noiseMask_170814_1952_015.png	0	0	0.735381	12796.353983
056	0	3	15	75	other_00601_940928_fb_edt.bmp	pd_sm_inkblot_170816_1750_081.png	pdPL_noiseMask_170814_1952_063.png	2	0	0.897234	12797.320333
056	0	3	16	76	other_00596_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_052.png	pdPL_noiseMask_170814_1952_003.png	2	1	0.668226	12798.453309
056	0	3	17	77	black_mb021.bmp	pd_sm_inkblot_170816_1750_015.png	pdPL_noiseMask_170814_1952_039.png	1	0	0.648568	12799.352983
056	0	3	18	78	black_mb030.bmp	pd_sm_inkblot_170816_1750_056.png	pdPL_noiseMask_170814_1952_063.png	1	1	0.813239	12800.236014
056	0	3	19	79	white_00248_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_055.png	pdPL_noiseMask_170814_1952_064.png	0	1	0.867639	12801.285645
056	0	3	20	80	black_00746_941201_fb_edt.bmp	pd_sm_inkblot_170816_1750_039.png	pdPL_noiseMask_170814_1952_008.png	1	0	0.767980	12802.385263
056	0	3	21	81	black_00917_960620_fa_edt.bmp	pd_sm_inkblot_170816_1750_081.png	pdPL_noiseMask_170814_1952_059.png	1	1	0.704178	12803.384928
056	0	3	22	82	white_mw019.bmp	pd_sm_inkblot_170816_1750_037.png	pdPL_noiseMask_170814_1952_012.png	0	0	0.746959	12804.317946
056	0	3	23	83	black_mb016.bmp	pd_sm_inkblot_170816_1750_082.png	pdPL_noiseMask_170814_1952_012.png	1	1	1.052003	12805.300941
056	0	3	24	84	other_00247_941121_fb_edt.bmp	pd_sm_inkblot_170816_1750_082.png	pdPL_noiseMask_170814_1952_032.png	2	1	1.545291	12806.583835
056	0	3	25	85	black_00488_940519_fb_edt.bmp	pd_sm_inkblot_170816_1750_026.png	pdPL_noiseMask_170814_1952_076.png	1	0	0.874982	12808.349899
056	0	3	26	86	other_00058_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_012.png	pdPL_noiseMask_170814_1952_091.png	2	0	0.727298	12809.449510
056	0	3	27	87	black_mb029.bmp	pd_sm_inkblot_170816_1750_021.png	pdPL_noiseMask_170814_1952_003.png	1	0	0.730103	12810.399225
056	0	3	28	88	white_00340_940422_fa_edt.bmp	pd_sm_inkblot_170816_1750_006.png	pdPL_noiseMask_170814_1952_009.png	0	0	0.643814	12811.365525
056	0	3	29	89	black_mb031.bmp	pd_sm_inkblot_170816_1750_036.png	pdPL_noiseMask_170814_1952_020.png	1	0	0.689417	12812.231906
056	0	3	30	90	black_mb009.bmp	pd_sm_inkblot_170816_1750_055.png	pdPL_noiseMask_170814_1952_011.png	1	0	0.700589	12813.148261
056	0	4	01	91	black_00273_940422_fa_edt.bmp	pd_sm_inkblot_170816_1750_051.png	pdPL_noiseMask_170814_1952_064.png	1	0	0.616489	12820.112547
056	0	4	02	92	other_00582_940928_fb_edt.bmp	pd_sm_inkblot_170816_1750_025.png	pdPL_noiseMask_170814_1952_078.png	2	0	0.510515	12820.962261
056	0	4	03	93	black_mb006.bmp	pd_sm_inkblot_170816_1750_027.png	pdPL_noiseMask_170814_1952_089.png	1	1	0.593525	12821.695340
056	0	4	04	94	other_00216_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_049.png	pdPL_noiseMask_170814_1952_088.png	2	1	0.680928	12822.511730
056	0	4	05	95	other_00205_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_048.png	pdPL_noiseMask_170814_1952_028.png	2	1	0.701055	12823.428069
056	0	4	06	96	other_00261_940128_fb_edt.bmp	pd_sm_inkblot_170816_1750_079.png	pdPL_noiseMask_170814_1952_020.png	2	1	0.879538	12824.361087
056	0	4	07	97	other_00046_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_039.png	pdPL_noiseMask_170814_1952_094.png	2	0	0.563840	12825.477377
056	0	4	08	98	black_mb035.bmp	pd_sm_inkblot_170816_1750_063.png	pdPL_noiseMask_170814_1952_030.png	1	0	0.683935	12826.277113
056	0	4	09	99	white_mw004.bmp	pd_sm_inkblot_170816_1750_075.png	pdPL_noiseMask_170814_1952_068.png	0	0	0.631232	12827.193449
056	0	4	10	100	other_00570_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_027.png	pdPL_noiseMask_170814_1952_095.png	2	0	0.620876	12828.059834
056	0	4	11	101	white_00816_941205_fa_edt.bmp	pd_sm_inkblot_170816_1750_022.png	pdPL_noiseMask_170814_1952_044.png	0	0	0.570997	12828.909529
056	0	4	12	102	black_00332_940422_fa_edt_contrast.bmp	pd_sm_inkblot_170816_1750_070.png	pdPL_noiseMask_170814_1952_057.png	1	0	0.619240	12829.709280
056	0	4	13	103	white_00657_941121_fa_edt.bmp	pd_sm_inkblot_170816_1750_005.png	pdPL_noiseMask_170814_1952_059.png	0	0	0.657651	12830.558985
056	0	4	14	104	white_00960_960627_fb_edt.bmp	pd_sm_inkblot_170816_1750_063.png	pdPL_noiseMask_170814_1952_016.png	0	0	0.543075	12831.442025
056	0	4	15	105	white_00577_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_027.png	pdPL_noiseMask_170814_1952_061.png	0	0	0.520247	12832.208422
056	0	4	16	106	black_mb023.bmp	pd_sm_inkblot_170816_1750_087.png	pdPL_noiseMask_170814_1952_033.png	1	0	0.538893	12832.958160
056	0	4	17	107	white_00199_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_098.png	pdPL_noiseMask_170814_1952_011.png	0	0	0.555959	12833.724560
056	0	4	18	108	other_00097_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_051.png	pdPL_noiseMask_170814_1952_081.png	2	0	0.629378	12834.507618
056	0	4	19	109	other_00237_940128_fb_edt.bmp	pd_sm_inkblot_170816_1750_085.png	pdPL_noiseMask_170814_1952_084.png	2	0	0.674841	12835.374002
056	0	4	20	110	white_mw008.bmp	pd_sm_inkblot_170816_1750_082.png	pdPL_noiseMask_170814_1952_095.png	0	0	0.550867	12836.273680
056	0	4	21	111	white_00785_941205_fb_edt.bmp	pd_sm_inkblot_170816_1750_097.png	pdPL_noiseMask_170814_1952_052.png	0	0	0.616329	12837.056747
056	0	4	22	112	white_mw025.bmp	pd_sm_inkblot_170816_1750_083.png	pdPL_noiseMask_170814_1952_028.png	0	1	0.637989	12837.906470
056	0	4	23	113	black_mb008.bmp	pd_sm_inkblot_170816_1750_084.png	pdPL_noiseMask_170814_1952_078.png	1	1	0.739711	12838.772826
056	0	4	24	114	black_00108_940128_fb_edt.bmp	pd_sm_inkblot_170816_1750_049.png	pdPL_noiseMask_170814_1952_044.png	1	1	0.621347	12839.739177
056	0	4	25	115	other_00282_940422_fb_edt.bmp	pd_sm_inkblot_170816_1750_026.png	pdPL_noiseMask_170814_1952_037.png	2	0	0.572111	12840.588876
056	0	4	26	116	black_00716_941201_fa_edt_rot.bmp	pd_sm_inkblot_170816_1750_010.png	pdPL_noiseMask_170814_1952_046.png	1	0	1.004158	12841.388615
056	0	4	27	117	black_mb002.bmp	pd_sm_inkblot_170816_1750_020.png	pdPL_noiseMask_170814_1952_071.png	1	0	0.651781	12842.621527
056	0	4	28	118	other_00096_940128_fb_edt.bmp	pd_sm_inkblot_170816_1750_063.png	pdPL_noiseMask_170814_1952_016.png	2	0	0.687911	12843.504561
056	0	4	29	119	white_mw012.bmp	pd_sm_inkblot_170816_1750_089.png	pdPL_noiseMask_170814_1952_066.png	0	1	1.059580	12844.420918
056	0	4	30	120	black_00531_940519_fa_edt.bmp	pd_sm_inkblot_170816_1750_029.png	pdPL_noiseMask_170814_1952_062.png	1	1	0.728903	12845.703806
056	0	5	01	121	other_00516_940519_fb_edt.bmp	pd_sm_inkblot_170816_1750_000.png	pdPL_noiseMask_170814_1952_036.png	2	1	0.843240	12852.701402
056	0	5	02	122	black_00558_940519_fa_edt.bmp	pd_sm_inkblot_170816_1750_046.png	pdPL_noiseMask_170814_1952_040.png	1	1	0.704720	12853.767719
056	0	5	03	123	other_00178_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_075.png	pdPL_noiseMask_170814_1952_008.png	2	1	0.692018	12854.700739
056	0	5	04	124	black_mb001.bmp	pd_sm_inkblot_170816_1750_096.png	pdPL_noiseMask_170814_1952_037.png	1	1	0.703205	12855.617091
056	0	5	05	125	black_00801_941205_fa_edt.bmp	pd_sm_inkblot_170816_1750_052.png	pdPL_noiseMask_170814_1952_007.png	1	1	0.746222	12856.550107
056	0	5	06	126	other_00110_931230_fb_edt.bmp	pd_sm_inkblot_170816_1750_005.png	pdPL_noiseMask_170814_1952_033.png	2	1	0.723728	12857.533100
056	0	5	07	127	black_mb019.bmp	pd_sm_inkblot_170816_1750_031.png	pdPL_noiseMask_170814_1952_088.png	1	0	0.734056	12858.482776
056	0	5	08	128	white_00597_940928_fb_edt.bmp	pd_sm_inkblot_170816_1750_031.png	pdPL_noiseMask_170814_1952_091.png	0	0	0.735139	12859.449114
056	0	5	09	129	white_00761_941201_fb_edt.bmp	pd_sm_inkblot_170816_1750_069.png	pdPL_noiseMask_170814_1952_094.png	0	0	0.712825	12860.415450
056	0	5	10	130	white_00898_960530_fa_edt.bmp	pd_sm_inkblot_170816_1750_052.png	pdPL_noiseMask_170814_1952_072.png	0	1	0.691216	12861.365124
056	0	5	11	131	white_00519_940519_fb_edt.bmp	pd_sm_inkblot_170816_1750_056.png	pdPL_noiseMask_170814_1952_041.png	0	0	0.670794	12862.281478
056	0	5	12	132	white_00897_960530_fb_edt.bmp	pd_sm_inkblot_170816_1750_012.png	pdPL_noiseMask_170814_1952_043.png	0	0	0.803182	12863.181174
056	0	5	13	133	black_mb018.bmp	pd_sm_inkblot_170816_1750_047.png	pdPL_noiseMask_170814_1952_016.png	1	1	0.658008	12864.214151
056	0	5	14	134	other_00116_931230_fa_edt.bmp	pd_sm_inkblot_170816_1750_021.png	pdPL_noiseMask_170814_1952_041.png	2	1	0.695657	12865.097183
056	0	5	15	135	white_00757_941201_fa_edt.bmp	pd_sm_inkblot_170816_1750_091.png	pdPL_noiseMask_170814_1952_040.png	0	0	0.658708	12866.013540
056	0	5	16	136	other_00193_940128_fa_edt.bmp	pd_sm_inkblot_170816_1750_096.png	pdPL_noiseMask_170814_1952_057.png	2	0	0.735602	12866.896573
056	0	5	17	137	black_mb003.bmp	pd_sm_inkblot_170816_1750_019.png	pdPL_noiseMask_170814_1952_009.png	1	1	0.601442	12867.862909
056	0	5	18	138	other_00566_940928_fb_edt.bmp	pd_sm_inkblot_170816_1750_007.png	pdPL_noiseMask_170814_1952_011.png	2	0	0.648633	12868.696038
056	0	5	19	139	other_00617_940928_fb_edt.bmp	pd_sm_inkblot_170816_1750_023.png	pdPL_noiseMask_170814_1952_012.png	2	1	0.613182	12869.578990
056	0	5	20	140	other_00618_940928_fb_edt.bmp	pd_sm_inkblot_170816_1750_002.png	pdPL_noiseMask_170814_1952_089.png	2	1	0.819706	12870.428725
056	0	5	21	141	white_00659_941121_fa_edt.bmp	pd_sm_inkblot_170816_1750_039.png	pdPL_noiseMask_170814_1952_088.png	0	0	0.577880	12871.478327
056	0	5	22	142	white_mw015.bmp	pd_sm_inkblot_170816_1750_048.png	pdPL_noiseMask_170814_1952_084.png	0	1	0.713807	12872.294769
056	0	5	23	143	other_00614_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_089.png	pdPL_noiseMask_170814_1952_060.png	2	1	0.667744	12873.244392
056	0	5	24	144	black_mb020.bmp	pd_sm_inkblot_170816_1750_037.png	pdPL_noiseMask_170814_1952_060.png	1	1	0.751979	12874.144098
056	0	5	25	145	black_00358_940422_fb_edt.bmp	pd_sm_inkblot_170816_1750_098.png	pdPL_noiseMask_170814_1952_066.png	1	0	0.561283	12875.127092
056	0	5	26	146	other_00610_940928_fa_edt.bmp	pd_sm_inkblot_170816_1750_087.png	pdPL_noiseMask_170814_1952_055.png	2	1	0.658217	12875.910158
056	0	5	27	147	white_mw028.bmp	pd_sm_inkblot_170816_1750_084.png	pdPL_noiseMask_170814_1952_010.png	0	0	0.542875	12876.793197
056	0	5	28	148	black_mb015.bmp	pd_sm_inkblot_170816_1750_025.png	pdPL_noiseMask_170814_1952_099.png	1	0	0.936493	12877.559583
056	0	5	29	149	black_00964_960627_fb_edt.bmp	pd_sm_inkblot_170816_1750_044.png	pdPL_noiseMask_170814_1952_081.png	1	0	0.666047	12878.725864
056	0	5	30	150	white_mw024.bmp	pd_sm_inkblot_170816_1750_001.png	pdPL_noiseMask_170814_1952_062.png	0	1	0.607022	12879.625542
