SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	PARTNER RACE	SHARED	RECEIVED	RT	START TIME
002	1	1	01	01	other_sid1057_sk10000.png	2	1	2	6.296348	4616.389424
002	1	1	02	02	white_sid1039_sk11100.png	0	0	0	6.743211	4623.086553
002	1	1	03	03	white_sid1110_sk11100.png	0	0	0	6.989964	4629.950780
002	1	1	04	04	other_sid1130_sk00000.png	2	1	0	5.347884	4637.064882
002	1	1	05	05	white_sid1042_sk01111.png	0	0	0	4.042648	4642.529980
002	1	1	06	06	white_sid1016_sk11000.png	0	1	2	7.109507	4646.694770
002	1	1	07	07	other_sid1116_sk11110.png	2	2	4	7.398639	4653.925533
002	1	1	08	08	other_sid1045_sk11000.png	2	0	0	9.148247	4661.439507
002	1	1	09	09	white_sid1118_sk11111.png	0	1	2	6.436836	4670.702878
002	1	1	10	10	white_sid1185_sk00000.png	0	2	0	4.249119	4677.250538
002	1	1	11	11	black_sid1009_sk11111.png	1	2	4	4.355736	4681.615643
002	1	1	12	12	white_sid1190_sk11000.png	0	0	0	6.426549	4686.080714
002	1	1	13	13	white_sid1021_sk11111.png	0	0	0	6.654720	4692.628364
002	1	1	14	14	black_sid1108_sk11100.png	1	4	0	2.698284	4699.392626
002	1	1	15	15	black_sid1119_sk10000.png	1	1	2	6.586500	4702.208288
002	1	1	16	16	white_sid1175_sk11100.png	0	2	4	1.432812	4708.905880
002	1	1	17	17	white_sid1168_sk11111.png	0	0	0	3.067179	4710.455338
002	1	1	18	18	white_sid1075_sk00000.png	0	0	0	1.868887	4713.637719
002	1	1	19	19	black_sid1107_sk11000.png	1	2	4	1.310417	4715.620152
002	1	1	20	20	other_sid1150_sk11100.png	2	0	0	2.789367	4717.053003
002	1	1	21	21	white_sid1097_sk11100.png	0	0	0	2.026460	4719.951936
002	1	1	22	22	black_sid1101_sk11000.png	1	2	4	5.245799	4722.084531
002	1	1	23	23	other_sid1022_sk11111.png	2	0	0	6.624832	4727.449257
002	1	1	24	24	black_sid1186_sk11111.png	1	0	0	2.501653	4734.180209
002	1	1	25	25	black_sid1179_sk11110.png	1	4	8	3.581983	4736.795929
002	1	1	26	26	other_sid1074_sk11110.png	2	0	0	1.971255	4740.494596
002	1	1	27	27	other_sid1025_sk01100.png	2	2	4	1.584633	4742.577198
002	1	1	28	28	black_sid1184_sk00000.png	1	3	0	1.557205	4744.276561
002	1	1	29	29	black_sid1071_sk10000.png	1	2	0	1.683075	4745.942646
002	1	1	30	30	black_sid1109_sk00000.png	1	0	0	3.091585	4747.742017
002	1	1	31	31	other_sid1094_sk00000.png	2	0	0	2.956629	4750.940856
002	1	1	32	32	black_sid1029_sk11000.png	1	0	0	5.274884	4754.006445
002	1	1	33	33	white_sid1031_sk11110.png	0	2	4	3.941382	4759.387861
002	1	1	34	34	white_sid1006_sk00000.png	0	2	0	1.668746	4763.436415
002	1	1	35	35	other_sid1024_sk11000.png	2	3	0	1.942208	4765.219109
002	1	1	36	36	white_sid1112_sk00000.png	0	0	0	3.708662	4767.268362
002	1	1	37	37	white_sid1003_sk11110.png	0	0	0	2.517237	4771.083677
002	1	1	38	38	white_sid1065_sk00000.png	0	4	0	4.148703	4773.716073
002	1	2	01	39	other_sid1166_sk01110.png	2	2	4	4.603777	4784.012752
002	1	2	02	40	black_sid1076_sk11100.png	1	1	2	2.884323	4788.843984
002	1	2	03	41	white_sid1020_sk11100.png	0	3	6	2.637721	4791.842917
002	1	2	04	42	black_sid1015_sk11000.png	1	4	0	1.776384	4794.591947
002	1	2	05	43	black_sid1200_sk10101.png	1	3	6	1.981726	4796.474606
002	1	2	06	44	other_sid1047_sk01101.png	2	0	0	2.674373	4798.573851
002	1	2	07	45	black_sid1026_sk11110.png	1	4	8	2.580230	4801.356181
002	1	2	08	46	black_sid1201_sk11110.png	1	3	6	3.728754	4804.055235
002	1	2	09	47	black_sid1129_sk11100.png	1	3	6	2.056103	4807.903848
002	1	2	10	48	black_sid1103_sk11100.png	1	1	2	2.362791	4810.069750
002	1	2	11	49	other_sid1044_sk11110.png	2	0	0	2.783493	4812.552186
002	1	2	12	50	other_sid1061_sk11000.png	2	3	0	3.484409	4815.451139
