SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	STIM VALENCE	STIM RACE	RESPONSE	CORRECT	RT	START TIME	CORRECTION TIME	CORRECTION START
016	0	1	1	1	Nice	1	NaN	1	1	0.941973	0.200171	NaN	NaN
016	0	1	2	2	Awful	0	NaN	0	1	0.634450	0.200160	NaN	NaN
016	0	1	3	3	Nice	1	NaN	1	1	0.571385	0.200046	NaN	NaN
016	0	1	4	4	Superb	1	NaN	1	1	0.575678	0.200047	NaN	NaN
016	0	1	5	5	Horrible	0	NaN	0	1	0.530115	0.200039	NaN	NaN
016	0	1	6	6	Terrific	1	NaN	1	1	0.766873	0.200010	NaN	NaN
016	0	1	7	7	Foul	0	NaN	0	1	0.586709	0.200021	NaN	NaN
016	0	1	8	8	Terrific	1	NaN	1	1	0.462276	0.200062	NaN	NaN
016	0	1	9	9	Superb	1	NaN	1	1	0.430537	0.200016	NaN	NaN
016	0	1	10	10	Terrific	1	NaN	0	0	0.592313	0.200006	1.176171	11724.919705
016	0	1	11	11	Revolting	0	NaN	0	1	0.779383	0.200055	NaN	NaN
016	0	1	12	12	Revolting	0	NaN	0	1	0.575113	0.200058	NaN	NaN
016	0	1	13	13	Great	1	NaN	1	1	0.434661	0.200057	NaN	NaN
016	0	1	14	14	Terrible	0	NaN	0	1	0.739494	0.200039	NaN	NaN
016	0	1	15	15	Terrible	0	NaN	0	1	0.417273	0.200027	NaN	NaN
016	0	1	16	16	Nice	1	NaN	1	1	0.458811	0.200048	NaN	NaN
016	0	1	17	17	Horrible	0	NaN	0	1	0.682515	0.200003	NaN	NaN
016	0	1	18	18	Fabulous	1	NaN	1	1	0.554093	0.200066	NaN	NaN
016	0	1	19	19	Horrid	0	NaN	1	0	0.614417	0.200031	1.062388	11733.732999
016	0	1	20	20	Horrid	0	NaN	0	1	0.518188	0.200053	NaN	NaN
016	0	2	1	21	W1jpg.jpg	NaN	0	0	1	1.102664	0.200020	NaN	NaN
016	0	2	2	22	B8jpg.jpg	NaN	1	1	1	0.540443	0.200026	NaN	NaN
016	0	2	3	23	W5jpg.jpg	NaN	0	0	1	0.457457	0.200069	NaN	NaN
016	0	2	4	24	B8jpg.jpg	NaN	1	1	1	0.490272	0.200035	NaN	NaN
016	0	2	5	25	W7jpg.jpg	NaN	0	0	1	0.529207	0.200062	NaN	NaN
016	0	2	6	26	B8jpg.jpg	NaN	1	1	1	0.470734	0.200016	NaN	NaN
016	0	2	7	27	B4jpg.jpg	NaN	1	1	1	0.462451	0.200038	NaN	NaN
016	0	2	8	28	W4jpg.jpg	NaN	0	0	1	0.446062	0.200012	NaN	NaN
016	0	2	9	29	B7jpg.jpg	NaN	1	1	1	0.493651	0.200021	NaN	NaN
016	0	2	10	30	W7jpg.jpg	NaN	0	0	1	0.444610	0.200003	NaN	NaN
016	0	2	11	31	W3jpg.jpg	NaN	0	0	1	0.421508	0.200061	NaN	NaN
016	0	2	12	32	B5jpg.jpg	NaN	1	1	1	0.383108	0.200010	NaN	NaN
016	0	2	13	33	W8jpg.jpg	NaN	0	0	1	0.674012	0.200018	NaN	NaN
016	0	2	14	34	W9jpg.jpg	NaN	0	0	1	0.537661	0.200045	NaN	NaN
016	0	2	15	35	B4jpg.jpg	NaN	1	1	1	0.423261	0.200056	NaN	NaN
016	0	2	16	36	W3jpg.jpg	NaN	0	0	1	0.488931	0.200069	NaN	NaN
016	0	2	17	37	B1jpg.jpg	NaN	1	1	1	0.439831	0.200005	NaN	NaN
016	0	2	18	38	B2jpg.jpg	NaN	1	1	1	0.472589	0.200051	NaN	NaN
016	0	2	19	39	W7jpg.jpg	NaN	0	0	1	0.496344	0.200037	NaN	NaN
016	0	2	20	40	B2jpg.jpg	NaN	1	1	1	0.511276	0.200096	NaN	NaN
016	0	3	1	41	B4jpg.jpg	NaN	1	1	1	0.800060	0.200017	NaN	NaN
016	0	3	2	42	Foul	0	NaN	0	1	0.658445	0.200026	NaN	NaN
016	0	3	3	43	B2jpg.jpg	NaN	1	1	1	0.691434	0.200078	NaN	NaN
016	0	3	4	44	Lovely	1	NaN	1	1	1.522379	0.200067	NaN	NaN
016	0	3	5	45	B3jpg.jpg	NaN	1	1	1	0.544544	0.200024	NaN	NaN
016	0	3	6	46	Revolting	0	NaN	0	1	0.636703	0.200009	NaN	NaN
016	0	3	7	47	B5jpg.jpg	NaN	1	1	1	0.582216	0.200043	NaN	NaN
016	0	3	8	48	Superb	1	NaN	1	1	0.673286	0.200035	NaN	NaN
016	0	3	9	49	B5jpg.jpg	NaN	1	1	1	0.552957	0.200009	NaN	NaN
016	0	3	10	50	Horrid	0	NaN	0	1	0.613151	0.200071	NaN	NaN
016	0	3	11	51	W1jpg.jpg	NaN	0	0	1	0.373661	0.200008	NaN	NaN
016	0	3	12	52	Nice	1	NaN	0	0	0.577206	0.200065	1.089115	11786.898128
016	0	3	13	53	W1jpg.jpg	NaN	0	1	0	0.488385	0.200034	1.584341	11788.247677
016	0	3	14	54	Disgusting	0	NaN	0	1	1.011666	0.200045	NaN	NaN
016	0	3	15	55	W8jpg.jpg	NaN	0	0	1	0.830692	0.200046	NaN	NaN
016	0	3	16	56	Lovely	1	NaN	0	0	0.824495	0.200090	1.328372	11792.996036
016	0	3	17	57	W8jpg.jpg	NaN	0	0	1	0.606338	0.200102	NaN	NaN
016	0	3	18	58	Nice	1	NaN	1	1	1.425975	0.200081	NaN	NaN
016	0	3	19	59	W2jpg.jpg	NaN	0	0	1	0.747941	0.200042	NaN	NaN
016	0	3	20	60	Horrible	0	NaN	0	1	1.273027	0.200008	NaN	NaN
016	0	3	1	61	Terrible	0	NaN	0	1	0.938505	0.200077	NaN	NaN
016	0	3	2	62	B4jpg.jpg	NaN	1	1	1	0.711617	0.200005	NaN	NaN
016	0	3	3	63	Horrid	0	NaN	0	1	0.948511	0.200060	NaN	NaN
016	0	3	4	64	W8jpg.jpg	NaN	0	0	1	0.673020	0.200031	NaN	NaN
016	0	3	5	65	Terrible	0	NaN	0	1	0.696733	0.200051	NaN	NaN
016	0	3	6	66	W6jpg.jpg	NaN	0	0	1	0.519005	0.200073	NaN	NaN
016	0	3	7	67	Wonderful	1	NaN	1	1	0.620687	0.200051	NaN	NaN
016	0	3	8	68	B8jpg.jpg	NaN	1	1	1	0.438231	0.200120	NaN	NaN
016	0	3	9	69	Nice	1	NaN	1	1	0.639994	0.200042	NaN	NaN
016	0	3	10	70	B7jpg.jpg	NaN	1	1	1	0.696909	0.200090	NaN	NaN
016	0	3	11	71	Fabulous	1	NaN	1	1	0.583991	0.200061	NaN	NaN
016	0	3	12	72	B4jpg.jpg	NaN	1	1	1	0.370964	0.200024	NaN	NaN
016	0	3	13	73	Wonderful	1	NaN	1	1	0.486484	0.200021	NaN	NaN
016	0	3	14	74	B9jpg.jpg	NaN	1	1	1	0.445375	0.200027	NaN	NaN
016	0	3	15	75	Terrible	0	NaN	0	1	0.589663	0.200077	NaN	NaN
016	0	3	16	76	W4jpg.jpg	NaN	0	0	1	0.377282	0.200028	NaN	NaN
016	0	3	17	77	Horrid	0	NaN	0	1	0.676860	0.200059	NaN	NaN
016	0	3	18	78	W2jpg.jpg	NaN	0	0	1	0.444527	0.200070	NaN	NaN
016	0	3	19	79	Fantastic	1	NaN	1	1	0.636686	0.200119	NaN	NaN
016	0	3	20	80	W3jpg.jpg	NaN	0	0	1	0.429684	0.200038	NaN	NaN
016	0	3	21	81	Horrible	0	NaN	0	1	0.950682	0.200003	NaN	NaN
016	0	3	22	82	W7jpg.jpg	NaN	0	0	1	0.347790	0.200009	NaN	NaN
016	0	3	23	83	Horrid	0	NaN	0	1	0.424662	0.200050	NaN	NaN
016	0	3	24	84	W3jpg.jpg	NaN	0	0	1	0.362274	0.200008	NaN	NaN
016	0	3	25	85	Terrible	0	NaN	0	1	0.478497	0.200087	NaN	NaN
016	0	3	26	86	B6jpg.jpg	NaN	1	1	1	0.405496	0.200058	NaN	NaN
016	0	3	27	87	Terrific	1	NaN	0	0	0.640250	0.200027	1.544394	11828.883793
016	0	3	28	88	B3jpg.jpg	NaN	1	1	1	1.374267	0.200048	NaN	NaN
016	0	3	29	89	Fabulous	1	NaN	1	1	0.634178	0.200083	NaN	NaN
016	0	3	30	90	W5jpg.jpg	NaN	0	0	1	0.460046	0.200041	NaN	NaN
016	0	3	31	91	Disgusting	0	NaN	0	1	0.604138	0.200073	NaN	NaN
016	0	3	32	92	B3jpg.jpg	NaN	1	1	1	0.614440	0.200037	NaN	NaN
016	0	3	33	93	Horrible	0	NaN	0	1	0.544808	0.200045	NaN	NaN
016	0	3	34	94	W4jpg.jpg	NaN	0	0	1	0.597642	0.200008	NaN	NaN
016	0	3	35	95	Superb	1	NaN	1	1	0.832622	0.200072	NaN	NaN
016	0	3	36	96	B5jpg.jpg	NaN	1	1	1	0.362395	0.200058	NaN	NaN
016	0	3	37	97	Great	1	NaN	1	1	0.494612	0.200015	NaN	NaN
016	0	3	38	98	W8jpg.jpg	NaN	0	0	1	0.468796	0.200030	NaN	NaN
016	0	3	39	99	Nice	1	NaN	1	1	1.004526	0.200041	NaN	NaN
016	0	3	40	100	B3jpg.jpg	NaN	1	1	1	0.495659	0.200045	NaN	NaN
016	0	8	1	101	Horrid	0	NaN	1	1	1.341657	0.200074	NaN	NaN
016	0	8	2	102	Awful	0	NaN	1	1	0.546904	0.200048	NaN	NaN
016	0	8	3	103	Horrible	0	NaN	1	1	0.479157	0.200058	NaN	NaN
016	0	8	4	104	Disgusting	0	NaN	1	1	0.461477	0.200015	NaN	NaN
016	0	8	5	105	Great	1	NaN	0	1	0.445721	0.200009	NaN	NaN
016	0	8	6	106	Horrible	0	NaN	1	1	0.454002	0.200083	NaN	NaN
016	0	8	7	107	Awful	0	NaN	1	1	0.494920	0.200071	NaN	NaN
016	0	8	8	108	Lovely	1	NaN	0	1	0.550438	0.200090	NaN	NaN
016	0	8	9	109	Fantastic	1	NaN	0	1	0.498744	0.200035	NaN	NaN
016	0	8	10	110	Horrid	0	NaN	1	1	0.393742	0.200061	NaN	NaN
016	0	8	11	111	Foul	0	NaN	1	1	0.588662	0.200013	NaN	NaN
016	0	8	12	112	Fabulous	1	NaN	0	1	0.520290	0.200068	NaN	NaN
016	0	8	13	113	Wonderful	1	NaN	0	1	0.542572	0.200062	NaN	NaN
016	0	8	14	114	Wonderful	1	NaN	0	1	0.418816	0.200026	NaN	NaN
016	0	8	15	115	Foul	0	NaN	1	1	0.476305	0.200078	NaN	NaN
016	0	8	16	116	Fantastic	1	NaN	1	0	0.396142	0.200057	0.868070	11868.270329
