SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	PARTNER RACE	SHARED	RECEIVED	RT	START TIME
046	1	2	29	67	white_sid1180_sk11110.png	0	2	4	1.337451	23171.232540
046	1	2	30	68	white_sid1031_sk11110.png	0	1	2	0.928037	23172.682044
046	1	2	31	69	white_sid1020_sk11100.png	0	0	0	1.422803	23173.731673
046	1	2	32	70	other_sid1150_sk11100.png	2	0	0	1.041607	23175.264479
046	1	2	33	71	other_sid1094_sk00000.png	2	0	0	0.867892	23176.414070
046	1	2	34	72	white_sid1003_sk11110.png	0	1	2	1.445412	23177.397069
046	1	2	35	73	white_sid1118_sk11111.png	0	0	0	1.047334	23178.963224
046	1	2	36	74	other_sid1057_sk10000.png	2	1	2	1.217008	23180.129485
046	1	2	37	75	white_sid1037_sk11110.png	0	1	2	0.731686	23181.462363
046	1	2	38	76	white_sid1039_sk11100.png	0	1	2	1.465778	23182.312091
