SUBJECT ID	CONDITION	BLOCK	TRIAL NUM	CUMULATIVE TRIAL NUM	STIM	STIM VALENCE	STIM RACE	RESPONSE	CORRECT	RT	START TIME	CORRECTION TIME	CORRECTION START
046_redo	0	1	1	1	Nice	1	NaN	0	1	0.886393	0.200169	NaN	NaN
046_redo	0	1	2	2	Horrid	0	NaN	1	1	0.523574	0.200155	NaN	NaN
046_redo	0	1	3	3	Lovely	1	NaN	0	1	0.366424	0.200110	NaN	NaN
046_redo	0	1	4	4	Revolting	0	NaN	1	1	0.568327	0.200026	NaN	NaN
046_redo	0	1	5	5	Foul	0	NaN	1	1	0.481738	0.200080	NaN	NaN
046_redo	0	1	6	6	Nice	1	NaN	0	1	0.406106	0.200004	NaN	NaN
046_redo	0	1	7	7	Disgusting	0	NaN	1	1	0.542645	0.200031	NaN	NaN
046_redo	0	1	8	8	Revolting	0	NaN	1	1	0.673992	0.200009	NaN	NaN
046_redo	0	1	9	9	Foul	0	NaN	1	1	0.481052	0.200005	NaN	NaN
046_redo	0	1	10	10	Revolting	0	NaN	1	1	0.512296	0.200005	NaN	NaN
046_redo	0	1	11	11	Lovely	1	NaN	0	1	0.478736	0.200062	NaN	NaN
046_redo	0	1	12	12	Lovely	1	NaN	0	1	0.444094	0.200048	NaN	NaN
046_redo	0	1	13	13	Lovely	1	NaN	0	1	0.371467	0.200056	NaN	NaN
046_redo	0	1	14	14	Horrible	0	NaN	1	1	0.518206	0.200047	NaN	NaN
046_redo	0	1	15	15	Horrid	0	NaN	1	1	0.539329	0.200048	NaN	NaN
046_redo	0	1	16	16	Terrible	0	NaN	1	1	0.496178	0.200006	NaN	NaN
046_redo	0	1	17	17	Nice	1	NaN	0	1	0.445045	0.200029	NaN	NaN
046_redo	0	1	18	18	Fantastic	1	NaN	0	1	0.644136	0.200005	NaN	NaN
046_redo	0	1	19	19	Fabulous	1	NaN	0	1	0.604879	0.200025	NaN	NaN
046_redo	0	1	20	20	Nice	1	NaN	0	1	0.461271	0.200025	NaN	NaN
046_redo	0	2	1	21	W2jpg.jpg	NaN	0	1	1	0.482875	0.200005	NaN	NaN
046_redo	0	2	2	22	B7jpg.jpg	NaN	1	0	1	0.393324	0.200047	NaN	NaN
046_redo	0	2	3	23	B4jpg.jpg	NaN	1	0	1	0.337781	0.200057	NaN	NaN
046_redo	0	2	4	24	W7jpg.jpg	NaN	0	1	1	0.477184	0.200008	NaN	NaN
